geneSymbol,diseaseName
ATXN3,Spinocerebellar Ataxias
TGFB1,Alzheimer Disease
DRD3,Parkinson Disease
IL1RN,Multiple Sclerosis
VEGFA,Amyotrophic Lateral Sclerosis
FAS,Multiple Sclerosis
COMT,Alzheimer Disease
PRNP,"Creutzfeldt-Jakob Disease, Sporadic"
HLA-C,Multiple Sclerosis
SNCAIP,Parkinson Disease
SNCA,Multiple System Atrophy
UBQLN1,Alzheimer Disease
ANG,Amyotrophic Lateral Sclerosis
HLA-DRB5,Multiple Sclerosis
CYP19A1,Alzheimer Disease
PON1,Parkinson Disease
GAA,Friedreich Ataxia
LPL,Alzheimer Disease
CTNNA3,Alzheimer Disease
FAS,Alzheimer Disease
GSTT1,Parkinson Disease
GAPDH,Alzheimer Disease
FMR1,Parkinson Disease
APOD,Alzheimer Disease
CETP,Alzheimer Disease
LRRK2,Alzheimer Disease
TGFB1,Multiple Sclerosis
EVI5,Multiple Sclerosis
TFCP2,Alzheimer Disease
HLA-A,Alzheimer Disease
GRN,GRN-related frontotemporal dementia
OLR1,Alzheimer Disease
BDNF,Multiple Sclerosis
CH25H,Alzheimer Disease
SPP1,Multiple Sclerosis
GPRIN3,Parkinson Disease
ATXN10,Spinocerebellar Ataxias
IL4,Multiple Sclerosis
CD226,Multiple Sclerosis
HTRA2,Parkinson Disease
NQO2,Parkinson Disease
RPL5,Multiple Sclerosis
APOE,Amyotrophic Lateral Sclerosis
VCP,Frontotemporal Dementia
TP53,Alzheimer Disease
HFE,Amyotrophic Lateral Sclerosis
CSF2,Alzheimer Disease
SLC6A4,Parkinson Disease
C10orf2,Spinocerebellar Ataxias
CRYAB,Multiple Sclerosis
APOE,Alzheimer's disease with late onset
RBM45,Multiple Sclerosis
HLA-G,Multiple Sclerosis
APBB1,Alzheimer Disease
ATN1,Spinocerebellar Ataxias
STH,Alzheimer Disease
IL23R,Multiple Sclerosis
CCL2,Alzheimer Disease
CCL5,Multiple Sclerosis
CDK1,Alzheimer Disease
GRIN2B,Alzheimer Disease
ABCB1,Alzheimer Disease
HTR6,Alzheimer Disease
ALS2,Amyotrophic Lateral Sclerosis
ATXN2,Parkinson Disease
LAMC2,Alzheimer Disease
ALOX5,Alzheimer Disease
DAPK1,Alzheimer Disease
ATXN3,Parkinson Disease
IL1A,Parkinson Disease
CDK5,Alzheimer Disease
TTR,Alzheimer Disease
CHRNA4,Alzheimer Disease
CCL2,Multiple Sclerosis
UCP2,Multiple Sclerosis
PSEN1,familial alzheimer disease
IL1A,Multiple Sclerosis
IFIH1,Multiple Sclerosis
GRIN2A,Huntington Disease
PRNP,Variant Creutzfeldt-Jakob disease
PRNP,"Creutzfeldt-Jakob Disease, Familial"
ITGA4,Multiple Sclerosis
IL1RN,Alzheimer Disease
CXCL12,Multiple Sclerosis
TBP,Huntington Disease
FGGY,Amyotrophic Lateral Sclerosis
OGG1,Alzheimer Disease
FUS,Amyotrophic lateral sclerosis 1
PON2,Alzheimer Disease
ATXN2,Parkinsonian Disorders
ITPR1,Spinocerebellar Ataxias
BTNL2,Multiple Sclerosis
MC1R,Multiple Sclerosis
GPC5,Multiple Sclerosis
PCK1,Alzheimer Disease
GSTP1,Alzheimer Disease
NEDD9,Alzheimer Disease
TBP,Parkinson Disease
SERPINA3,Parkinson Disease
DBH,Parkinson Disease
ESR2,Alzheimer Disease
CCK,Parkinson Disease
GOLM1,Alzheimer Disease
PITX3,Parkinson Disease
DLST,Alzheimer Disease
ACE,Parkinson Disease
SEMA5A,Parkinson Disease
SMN1,Amyotrophic Lateral Sclerosis
GRIN2B,Huntington Disease
SOD1,"Amyotrophic Lateral Sclerosis, Sporadic"
PVRL2,Alzheimer Disease
TNK1,Alzheimer Disease
CYP27B1,Multiple Sclerosis
BDNF,Huntington Disease
TLR4,Multiple Sclerosis
SNCA,Alzheimer Disease
HLA-E,Multiple Sclerosis
IGFALS,Amyotrophic Lateral Sclerosis
LTA,Multiple Sclerosis
LINGO1,Parkinson Disease
CNTF,Multiple Sclerosis
IRF5,Multiple Sclerosis
LRRK2,Multiple System Atrophy
NOS2,Multiple Sclerosis
MAOA,Alzheimer Disease
HLA-DRB1,"Multiple Sclerosis, Relapsing-Remitting"
JPH3,Huntington Disease
CP,Alzheimer Disease
NGFR,Alzheimer Disease
MTOR,Alzheimer Disease
CDK5R1,Alzheimer Disease
LRRK1,Parkinson Disease
FMR1,Parkinsonian Disorders
TDP1,Spinocerebellar Ataxias
MTHFR,Multiple Sclerosis
HSD17B10,Alzheimer Disease
PARK10,Parkinson Disease
POLG,Parkinson Disease
ELAVL4,Parkinson Disease
IFNAR1,Multiple Sclerosis
APOA1,Alzheimer Disease
VLDLR,Alzheimer Disease
CBS,Alzheimer Disease
CXCL8,Alzheimer Disease
IL18,Alzheimer Disease
PRND,Creutzfeldt-Jakob Syndrome
CTSD,Creutzfeldt-Jakob Syndrome
NRG1,Alzheimer Disease
LHCGR,Alzheimer Disease
CFH,Alzheimer Disease
VAPB,Amyotrophic Lateral Sclerosis
SLC6A3,Alzheimer Disease
IL12B,Multiple Sclerosis
FASLG,Multiple Sclerosis
FGF1,Alzheimer Disease
SOAT1,Alzheimer Disease
ICAM1,Alzheimer Disease
SST,Alzheimer Disease
GSK3B,Parkinson Disease
MPO,Multiple Sclerosis
FYN,Alzheimer Disease
CXCL8,Parkinson Disease
CXCL12,Alzheimer Disease
NQO1,Alzheimer Disease
LRPAP1,Alzheimer Disease
PPARA,Alzheimer Disease
HMGCR,Alzheimer Disease
UCHL1,Huntington Disease
VDR,Alzheimer Disease
DNMBP,Alzheimer Disease
ALDH2,Alzheimer Disease
XRCC1,Alzheimer Disease
ESR2,Parkinson Disease
ND2,Parkinson Disease
MPHOSPH9,Multiple Sclerosis
NOD2,Multiple Sclerosis
NR1H2,Alzheimer Disease
SORCS1,Alzheimer Disease
PON2,Amyotrophic Lateral Sclerosis
NOS1,Parkinson Disease
HTR2A,Parkinson Disease
HLA-DRB4,Multiple Sclerosis
TARDBP,Alzheimer Disease
VCP,Amyotrophic Lateral Sclerosis
ATXN2,Amyotrophic Lateral Sclerosis
RCAN1,Alzheimer Disease
HAP1,Huntington Disease
TNF,Amyotrophic Lateral Sclerosis
CSF2,Multiple Sclerosis
LILRA3,Multiple Sclerosis
PECAM1,Multiple Sclerosis
PON1,Multiple Sclerosis
DYRK1A,Alzheimer Disease
TAP2,Multiple Sclerosis
IL4,Alzheimer Disease
FMR1,Spinocerebellar Ataxias
HFE,Multiple Sclerosis
SIRT1,Alzheimer Disease
GRN,Amyotrophic Lateral Sclerosis
LAMC2,Multiple Sclerosis
CRP,Alzheimer Disease
FGF14,Spinocerebellar Ataxias
GRIA2,Amyotrophic Lateral Sclerosis
NR3C1,Multiple Sclerosis
SELPLG,Multiple Sclerosis
OAS1,Multiple Sclerosis
MTHFR,Huntington Disease
GRN,Parkinson Disease
STAT3,Multiple Sclerosis
IFNG,Alzheimer Disease
NPC1,Alzheimer Disease
GSTO1,Parkinson Disease
KCNH7,Multiple Sclerosis
GCA,Multiple Sclerosis
ST8SIA1,Multiple Sclerosis
ADORA2A,Huntington Disease
BACE2,Alzheimer Disease
FUS,Frontotemporal Dementia
PSEN1,Alzheimer's disease with early onset
C9orf72,GRN-related frontotemporal dementia
CD14,Multiple Sclerosis
MICB,Multiple Sclerosis
ABCA2,Alzheimer Disease
TLR4,Alzheimer Disease
DNM2,Alzheimer Disease
ADAM10,Alzheimer Disease
CRYAB,Alzheimer Disease
FCRL3,Multiple Sclerosis
MTR,Alzheimer Disease
ECE1,Alzheimer Disease
DRD3,Alzheimer Disease
GSTO2,Parkinson Disease
NDUFV2,Parkinson Disease
EBF1,Multiple Sclerosis
MMP3,Multiple Sclerosis
STAT1,Multiple Sclerosis
SIGMAR1,Alzheimer Disease
HSPG2,Alzheimer Disease
UCHL1,Alzheimer Disease
NTRK2,Alzheimer Disease
ADRB2,Alzheimer Disease
ITPR2,Amyotrophic Lateral Sclerosis
GCH1,Parkinson Disease
APOE,Frontotemporal Dementia
LY6E,Spinocerebellar Ataxias
APBA1,Alzheimer Disease
PARP1,Parkinson Disease
PTGS2,Parkinson Disease
IFNG,Parkinson Disease
PACRG,Parkinson Disease
CD86,Multiple Sclerosis
RGS1,Multiple Sclerosis
AR,Alzheimer Disease
WWC1,Alzheimer Disease
HLA-DRB1,"Multiple Sclerosis, Chronic Progressive"
NOS2,Parkinson Disease
CAST,Parkinson Disease
COX2,Alzheimer Disease
ND5,Multiple Sclerosis
GSTM1,Multiple Sclerosis
C3,Alzheimer Disease
NOTCH4,Alzheimer Disease
HTR2C,Alzheimer Disease
ADRB1,Alzheimer Disease
CD14,Alzheimer Disease
TNFRSF1B,Alzheimer Disease
GSTT1,Alzheimer Disease
CCKAR,Parkinson Disease
USP24,Parkinson Disease
USP40,Parkinson Disease
NEDD9,Parkinson Disease
ND5,Parkinson Disease
MAPT,Amyotrophic Lateral Sclerosis
ATP13A2,Parkinsonian Disorders
IL17A,Multiple Sclerosis
ZMIZ1,Multiple Sclerosis
FAM69A,Multiple Sclerosis
BRINP1,Multiple Sclerosis
C6orf10,Multiple Sclerosis
GC,Alzheimer Disease
TCN1,Alzheimer Disease
SLC18A3,Alzheimer Disease
LTA,Alzheimer Disease
KIF11,Alzheimer Disease
IL1R1,Alzheimer Disease
APOC3,Alzheimer Disease
PPARD,Alzheimer Disease
LRAT,Alzheimer Disease
LMNA,Alzheimer Disease
GALP,Alzheimer Disease
PGBD1,Alzheimer Disease
THRA,Alzheimer Disease
RXRA,Alzheimer Disease
PON3,Amyotrophic Lateral Sclerosis
SHROOM3,Amyotrophic Lateral Sclerosis
DRD4,Parkinson Disease
GSTM3,Parkinson Disease
MTR,Parkinson Disease
IL10,Parkinson Disease
NUCKS1,Parkinson Disease
TFAM,Parkinson Disease
SPPL2C,Parkinson Disease
NSF,Parkinson Disease
SLC41A1,Parkinson Disease
DGKQ,Parkinson Disease
SMN2,Amyotrophic Lateral Sclerosis
IFNB1,"Multiple Sclerosis, Relapsing-Remitting"
NEFL,Amyotrophic Lateral Sclerosis
TNFSF10,Multiple Sclerosis
MAPT,Creutzfeldt-Jakob Syndrome
APTX,"Spinocerebellar ataxia, autosomal recessive 1"
PRPH,Amyotrophic Lateral Sclerosis
UBB,Alzheimer Disease
NEFH,Amyotrophic Lateral Sclerosis
GSTO1,Alzheimer Disease
OPTN,Amyotrophic Lateral Sclerosis
HAVCR2,Multiple Sclerosis
AQP4,Multiple Sclerosis
TGM2,Huntington Disease
PARK3,Parkinson Disease
MEFV,Multiple Sclerosis
FRAXA,Parkinsonian Disorders
MX1,Multiple Sclerosis
CST3,Amyotrophic Lateral Sclerosis
IL18,Multiple Sclerosis
ADAM17,Multiple Sclerosis
PAWR,Alzheimer Disease
SH2D2A,Multiple Sclerosis
PTPN22,Multiple Sclerosis
PRF1,Multiple Sclerosis
KIR3DL1,Multiple Sclerosis
PTPRA,Alzheimer Disease
COX1,Alzheimer Disease
CASR,Alzheimer Disease
KIFAP3,Amyotrophic Lateral Sclerosis
IRF1,Multiple Sclerosis
SERPINE1,Multiple Sclerosis
COL25A1,Alzheimer Disease
MMP9,Amyotrophic Lateral Sclerosis
HGF,Amyotrophic Lateral Sclerosis
TARDBP,"Amyotrophic Lateral Sclerosis, Sporadic"
KLC1,Alzheimer Disease
ADAP1,Alzheimer Disease
PTGDS,Alzheimer Disease
EIF2AK2,Alzheimer Disease
APP,Amyotrophic Lateral Sclerosis
PARP1,Amyotrophic Lateral Sclerosis
CCL7,Multiple Sclerosis
TAC1,Multiple Sclerosis
KIR2DS1,Multiple Sclerosis
KIR2DL5A,Multiple Sclerosis
MGAT5,Multiple Sclerosis
KIF21B,Multiple Sclerosis
PLA2G4A,Alzheimer Disease
CD80,Multiple Sclerosis
CXCL8,Multiple Sclerosis
PVRL2,Multiple Sclerosis
SERPINA1,Alzheimer Disease
NTF3,Alzheimer Disease
ALOX15,Alzheimer Disease
LRRTM3,Alzheimer Disease
GAL,Alzheimer Disease
YWHAZ,Alzheimer Disease
ELP3,Amyotrophic Lateral Sclerosis
VPS54,Amyotrophic Lateral Sclerosis
CNTN4,Spinocerebellar Ataxias
SNCB,Parkinson Disease
ERVW-1,Multiple Sclerosis
UBQLN2,Amyotrophic Lateral Sclerosis
GCH1,Parkinsonian Disorders
SETX,Amyotrophic Lateral Sclerosis
KCNA3,Multiple Sclerosis
TGM1,Huntington Disease
CHRM2,Alzheimer Disease
RTN4,Amyotrophic Lateral Sclerosis
TAP1,Multiple Sclerosis
PRKCA,Multiple Sclerosis
LAG3,Multiple Sclerosis
IFNAR2,Multiple Sclerosis
KLRB1,Multiple Sclerosis
CXCR4,Multiple Sclerosis
TLR3,Multiple Sclerosis
GSTO2,Alzheimer Disease
REN,Alzheimer Disease
SERPINE1,Alzheimer Disease
PARP1,Alzheimer Disease
AGT,Alzheimer Disease
ALAD,Amyotrophic Lateral Sclerosis
IL1A,Multiple System Atrophy
BCL2L1,Multiple Sclerosis
PTAFR,Multiple Sclerosis
PNMT,Multiple Sclerosis
CD4,Multiple Sclerosis
GLO1,Multiple Sclerosis
ICOS,Multiple Sclerosis
NCF1,Multiple Sclerosis
MMP12,Multiple Sclerosis
STMN1,Multiple Sclerosis
TBATA,Multiple Sclerosis
CCL22,Multiple Sclerosis
ABCG1,Alzheimer Disease
DKK1,Alzheimer Disease
NOS1,Alzheimer Disease
PTGER2,Alzheimer Disease
PPP2R2B,Alzheimer Disease
GH1,Alzheimer Disease
DDX39B,Alzheimer Disease
TP73,Alzheimer Disease
ADAM17,Alzheimer Disease
CXCL8,Multiple System Atrophy
ICAM1,Multiple System Atrophy
SQSTM1,Multiple System Atrophy
SPRN,Creutzfeldt-Jakob Syndrome
ADH1C,Parkinson Disease
IDE,Parkinson Disease
HIVEP3,Parkinson Disease
SPR,Parkinson Disease
HS1BP3,Parkinson Disease
GCNT2,Multiple Sclerosis
SLC6A4,Huntington Disease
PARK2,Autosomal Recessive Parkinsonism
IGFALS,Amyotrophic lateral sclerosis 1
CNTF,Amyotrophic Lateral Sclerosis
GRM2,Amyotrophic Lateral Sclerosis
NFKB1,Multiple Sclerosis
CAPN1,Alzheimer Disease
LOC643387,Alzheimer Disease
PRDX6,Alzheimer Disease
TSC2,Alzheimer Disease
KLK6,Alzheimer Disease
AGRN,Alzheimer Disease
COL18A1,Alzheimer Disease
HSP90AA1,Alzheimer Disease
RTN4R,Alzheimer Disease
MAP2K1,Alzheimer Disease
RNF19A,Amyotrophic Lateral Sclerosis
CNR1,Parkinson Disease
ADAMTS14,Multiple Sclerosis
SELP,Multiple Sclerosis
HLA-DMB,Multiple Sclerosis
PSMB9,Multiple Sclerosis
KIR2DS4,Multiple Sclerosis
KIR2DL4,Multiple Sclerosis
KIR2DL2,Multiple Sclerosis
IL12RB2,Multiple Sclerosis
CYP24A1,Multiple Sclerosis
CCL8,Multiple Sclerosis
EOMES,Multiple Sclerosis
ATN1,Huntington Disease
GRIK2,Huntington Disease
CFB,Alzheimer Disease
PRND,Alzheimer Disease
NAT2,Alzheimer Disease
MMP3,Alzheimer Disease
MMP1,Alzheimer Disease
APH1B,Alzheimer Disease
F13A1,Alzheimer Disease
COX3,Alzheimer Disease
NCAPD2,Alzheimer Disease
IRS1,Alzheimer Disease
IL2,Alzheimer Disease
GSTM3,Alzheimer Disease
TAPBPL,Alzheimer Disease
ADH7,Multiple System Atrophy
ESR1,Parkinson Disease
CALB1,Parkinson Disease
RAB29,Parkinson Disease
MCCC1,Parkinson Disease
APOE,Creutzfeldt-Jakob Syndrome
IL5RA,Multiple Sclerosis
IDO1,Multiple Sclerosis
NGF,Multiple Sclerosis
STH,Huntington Disease
CHRNA3,Alzheimer Disease
AHSG,Alzheimer Disease
MAPK8IP1,Alzheimer Disease
MAOB,Alzheimer Disease
LRP8,Alzheimer Disease
TPH1,Alzheimer Disease
WT1,Alzheimer Disease
TBP,Alzheimer Disease
ANK3,Alzheimer Disease
IREB2,Alzheimer Disease
LRP6,Alzheimer Disease
SOS2,Alzheimer Disease
NTRK1,Alzheimer Disease
ABL1,Alzheimer Disease
TET1,Alzheimer Disease
ARMS2,Alzheimer Disease
ALOX12,Alzheimer Disease
FRK,Alzheimer Disease
EIF4EBP1,Alzheimer Disease
CD40LG,Alzheimer Disease
TNFRSF1A,Alzheimer Disease
TNFAIP1,Alzheimer Disease
TIMP2,Alzheimer Disease
TIMP1,Alzheimer Disease
GNB3,Alzheimer Disease
CYP7B1,Alzheimer Disease
ERBB4,Alzheimer Disease
VSNL1,Alzheimer Disease
CP,Amyotrophic Lateral Sclerosis
SCA21,Spinocerebellar Ataxias
CCL5,Parkinson Disease
CCL2,Parkinson Disease
TF,Parkinson Disease
HTR6,Parkinson Disease
YWHAH,Parkinson Disease
FRAXE,Parkinson Disease
SIAH1,Parkinson Disease
ND1,Parkinson Disease
MIR133B,Parkinson Disease
MTIF3,Parkinson Disease
HP,Parkinson Disease
VDR,Parkinson Disease
FUS,GRN-related frontotemporal dementia
MAPT,GRN-related frontotemporal dementia
IL23A,Multiple Sclerosis
HLA-DMA,Multiple Sclerosis
CCL11,Multiple Sclerosis
CTSS,Multiple Sclerosis
PTGER4,Multiple Sclerosis
PRNP,Multiple Sclerosis
PDE4B,Multiple Sclerosis
KANK1,Multiple Sclerosis
KIR3DS1,Multiple Sclerosis
KIR2DS5,Multiple Sclerosis
KIR2DS3,Multiple Sclerosis
KIR2DS2,Multiple Sclerosis
KIR2DL3,Multiple Sclerosis
KIR2DL1,Multiple Sclerosis
ALK,Multiple Sclerosis
DDX58,Multiple Sclerosis
TLR1,Multiple Sclerosis
IL1R1,Multiple Sclerosis
HLA-F,Multiple Sclerosis
GABBR1,Multiple Sclerosis
HCG9,Multiple Sclerosis
TRIM40,Multiple Sclerosis
RNF39,Multiple Sclerosis
TRIM15,Multiple Sclerosis
SLC44A4,Multiple Sclerosis
TRIM26,Multiple Sclerosis
CFB,Multiple Sclerosis
TAGAP,Multiple Sclerosis
PLEK,Multiple Sclerosis
HAAO,Multiple Sclerosis
ST13P4,Multiple Sclerosis
HHEX,Alzheimer Disease
CYP1A1,Alzheimer Disease
C1R,Alzheimer Disease
APOB,Alzheimer Disease
ADRA2A,Alzheimer Disease
ACTA1,Alzheimer Disease
NAT1,Alzheimer Disease
HSPA1A,Alzheimer Disease
HSD11B1,Alzheimer Disease
PSMB9,Alzheimer Disease
SREBF1,Alzheimer Disease
CYP17A1,Alzheimer Disease
APOA5,Alzheimer Disease
CAMK2G,Alzheimer Disease
HMGCS2,Alzheimer Disease
PLAT,Alzheimer Disease
PSENEN,Alzheimer Disease
USF2,Alzheimer Disease
ADAM12,Alzheimer Disease
USF1,Alzheimer Disease
PLA2G7,Alzheimer Disease
MYH13,Alzheimer Disease
ABCG2,Alzheimer Disease
LRP2,Alzheimer Disease
IL33,Alzheimer Disease
ND4,Alzheimer Disease
ATP8,Alzheimer Disease
ND5,Alzheimer Disease
ND4L,Alzheimer Disease
ND2,Alzheimer Disease
IL6R,Alzheimer Disease
GHR,Alzheimer Disease
FGG,Alzheimer Disease
EDNRB,Alzheimer Disease
DRD2,Alzheimer Disease
APH1A,Alzheimer Disease
ADRB3,Alzheimer Disease
MTHFD1L,Alzheimer Disease
CARD8,Alzheimer Disease
TRPC4AP,Alzheimer Disease
TRAF2,Alzheimer Disease
TNFRSF6B,Alzheimer Disease
STK11,Alzheimer Disease
SELP,Alzheimer Disease
DISC1,Alzheimer Disease
RFC3,Alzheimer Disease
ZNF224,Alzheimer Disease
MTHFD1,Alzheimer Disease
GSTM1,Alzheimer Disease
MPP7,Alzheimer Disease
MS4A4E,Alzheimer Disease
HLA-DQB1,"Multiple Sclerosis, Relapsing-Remitting"
SERPINE1,Amyotrophic Lateral Sclerosis
LIPC,Amyotrophic Lateral Sclerosis
CLNK,Amyotrophic Lateral Sclerosis
IFNK,Amyotrophic Lateral Sclerosis
KCNS3,Amyotrophic Lateral Sclerosis
HLA-DQB1,"Multiple Sclerosis, Chronic Progressive"
GSTZ1,Parkinson Disease
FUT1,Parkinson Disease
FTL,Parkinson Disease
CCKBR,Parkinson Disease
CACNA1A,Parkinson Disease
ASCL1,Parkinson Disease
PRNP,Parkinson Disease
FTH1,Parkinson Disease
CDCP2,Parkinson Disease
CHRNA4,Parkinson Disease
CYP1B1,Parkinson Disease
EPHX1,Parkinson Disease
PLXNC1,Parkinson Disease
MTRR,Parkinson Disease
LMX1B,Parkinson Disease
ATP6,Parkinson Disease
COX2,Parkinson Disease
COX1,Parkinson Disease
HNMT,Parkinson Disease
GRIN2B,Parkinson Disease
CYP1A2,Parkinson Disease
KANSL1,Parkinson Disease
PHACTR2,Parkinson Disease
UNC5C,Parkinson Disease
RGS2,Parkinson Disease
BRINP1,Parkinson Disease
PLA2G6,Parkinson Disease
WNT3,Parkinson Disease
SLC2A13,Parkinson Disease
GABRG3,Parkinson Disease
NELL1,Parkinson Disease
TMEM175,Parkinson Disease
TMEM163,Parkinson Disease
RIT2,Parkinson Disease
CYP2D6,Parkinsonian Disorders
ISG20,Multiple Sclerosis
INS-IGF2,Alzheimer Disease
SOD1,Frontotemporal Dementia
LY6E,SPINOCEREBELLAR ATAXIA 2
PSEN2,familial alzheimer disease
TIMP1,Multiple Sclerosis
FOXP3,Multiple Sclerosis
GDNF,Amyotrophic Lateral Sclerosis
APP,familial alzheimer disease
LRRK2,Autosomal Dominant Parkinsonism
CD28,Multiple Sclerosis
PPARGC1A,Huntington Disease
GFAP,Alzheimer Disease
GBA,Parkinsonian Disorders
PTBP1,Amyotrophic Lateral Sclerosis
RBMY1A1,Amyotrophic Lateral Sclerosis
SRRM2,Amyotrophic Lateral Sclerosis
RBMS3,Amyotrophic Lateral Sclerosis
PNO1,Amyotrophic Lateral Sclerosis
MAK16,Amyotrophic Lateral Sclerosis
C9orf72,Amyotrophic lateral sclerosis 1
LY6E,Parkinsonian Disorders
CD46,Multiple Sclerosis
ITM2B,Alzheimer Disease
APEX1,Amyotrophic Lateral Sclerosis
P4HB,Amyotrophic Lateral Sclerosis
CCL2,Amyotrophic Lateral Sclerosis
ESR1,Multiple Sclerosis
APOE,Huntington Disease
PPARG,Amyotrophic Lateral Sclerosis
FRAXA,Spinocerebellar Ataxias
ATXN8,Spinocerebellar Ataxias
JPH3,Spinocerebellar Ataxias
IFNA1,Multiple Sclerosis
IFNA13,Multiple Sclerosis
MBL2,Multiple Sclerosis
FUS,"Amyotrophic Lateral Sclerosis, Sporadic"
PFN1,Amyotrophic Lateral Sclerosis
PLA2G6,Parkinsonian Disorders
PLA2G6,Neurodegeneration with brain iron accumulation (NBIA)
PTPN6,Multiple Sclerosis
CD40,Alzheimer Disease
TNFRSF1B,Amyotrophic Lateral Sclerosis
PSEN1,Parkinsonian Disorders
ACE,Multiple Sclerosis
PSEN2,Frontotemporal Dementia
DCTN1,Amyotrophic Lateral Sclerosis
EPO,Amyotrophic Lateral Sclerosis
HLA-DQB2,Multiple Sclerosis
PRG2,Multiple Sclerosis
APOE,familial alzheimer disease
CXCR3,Multiple Sclerosis
CD40LG,Multiple Sclerosis
IL17C,Multiple Sclerosis
CASP1,Multiple Sclerosis
SYN3,Multiple Sclerosis
CX3CR1,Multiple Sclerosis
PLAT,Multiple Sclerosis
CNR2,Multiple Sclerosis
CX3CL1,Multiple Sclerosis
AGT,Multiple Sclerosis
CASP6,Alzheimer Disease
SQSTM1,Alzheimer Disease
ADRBK1,Alzheimer Disease
IL10,"Multiple Sclerosis, Relapsing-Remitting"
BDNF,"Multiple Sclerosis, Relapsing-Remitting"
CHGB,Amyotrophic Lateral Sclerosis
CCS,Amyotrophic Lateral Sclerosis
NOS1,Amyotrophic Lateral Sclerosis
ATXN2,Multiple System Atrophy
BCL2,Multiple Sclerosis
TP53,Multiple Sclerosis
CXCL10,Multiple Sclerosis
PPARG,Multiple Sclerosis
MMP2,Multiple Sclerosis
LIF,Multiple Sclerosis
IL21,Multiple Sclerosis
CD274,Multiple Sclerosis
TLR9,Multiple Sclerosis
MAPK1,Multiple Sclerosis
MMP9,Alzheimer Disease
ENO2,Alzheimer Disease
C4B,Alzheimer Disease
GZMB,Alzheimer Disease
AR,Spinocerebellar Ataxias
AGPS,Alzheimer Disease
IGFALS,Frontotemporal Dementia
PINK1,Autosomal Recessive Parkinsonism
SOD1,Parkinsonian Disorders
CSF2,Creutzfeldt-Jakob Syndrome
LAMC2,Creutzfeldt-Jakob Syndrome
C19orf12,Neurodegeneration with brain iron accumulation (NBIA)
MST1R,Multiple Sclerosis
OLIG1,Multiple Sclerosis
HTATIP2,Multiple Sclerosis
PADI2,Multiple Sclerosis
LINGO1,Multiple Sclerosis
HMGB1,Multiple Sclerosis
TIMP2,Multiple Sclerosis
CNP,Multiple Sclerosis
TP53,Huntington Disease
GAPDH,Huntington Disease
NOTCH1,Alzheimer Disease
PDYN,Alzheimer Disease
SP1,Alzheimer Disease
E2F1,Alzheimer Disease
MEOX2,Alzheimer Disease
PRDX2,Alzheimer Disease
PLA2G2A,Alzheimer Disease
TIMP1,Amyotrophic Lateral Sclerosis
PIN1,Amyotrophic Lateral Sclerosis
GRIA1,Amyotrophic Lateral Sclerosis
VGF,Amyotrophic Lateral Sclerosis
AQP4,Creutzfeldt-Jakob Syndrome
ATXN2,Multiple Sclerosis
NOS1,Multiple Sclerosis
CCL3,Multiple Sclerosis
EIF2B5,Multiple Sclerosis
CXCR2,Multiple Sclerosis
PADI4,Multiple Sclerosis
PTGS2,Multiple Sclerosis
VIP,Multiple Sclerosis
PPARA,Multiple Sclerosis
LMNB1,Multiple Sclerosis
LEP,Multiple Sclerosis
APOA1,Multiple Sclerosis
CAV1,Multiple Sclerosis
MOK,Multiple Sclerosis
MIF,Multiple Sclerosis
IL18R1,Multiple Sclerosis
GFI1,Multiple Sclerosis
TMEM39A,Multiple Sclerosis
CYP2D6,Multiple Sclerosis
COMT,Multiple Sclerosis
HAVCR1,Multiple Sclerosis
CD1E,Multiple Sclerosis
CD1A,Multiple Sclerosis
CASP8,Multiple Sclerosis
TLR2,Multiple Sclerosis
NOTCH4,Multiple Sclerosis
MERTK,Multiple Sclerosis
CXCR5,Multiple Sclerosis
ATXN1,Huntington Disease
PON3,Alzheimer Disease
PLG,Alzheimer Disease
PTBP1,Alzheimer Disease
HP,Alzheimer Disease
DRD4,Alzheimer Disease
VCAM1,Alzheimer Disease
RTN3,Alzheimer Disease
PLA2G6,Alzheimer Disease
GPX1,Alzheimer Disease
ATXN1,Alzheimer Disease
CCL3,Alzheimer Disease
C9orf72,Alzheimer Disease
LRRK2,Frontotemporal Dementia
NOS2,"Multiple Sclerosis, Relapsing-Remitting"
PRNP,Amyotrophic Lateral Sclerosis
NIPA1,Amyotrophic Lateral Sclerosis
RASGRF1,Amyotrophic Lateral Sclerosis
CYP2D6,Multiple System Atrophy
FRAXA,Multiple System Atrophy
TNF,Multiple System Atrophy
ATP6,Spinocerebellar Ataxias
RARB,Creutzfeldt-Jakob Syndrome
STMN2,Creutzfeldt-Jakob Syndrome
HTT,Parkinson Disease
FYN,Parkinson Disease
TOR1A,Parkinson Disease
FBXO7,Parkinson Disease
BDNF-AS,Multiple Sclerosis
ATXN3,SPINOCEREBELLAR ATAXIA 2
CSF2,Amyotrophic Lateral Sclerosis
STMN1,Amyotrophic Lateral Sclerosis
SNRPN,Amyotrophic Lateral Sclerosis
VCP,Amyotrophic lateral sclerosis 1
FBXO7,Parkinsonian Disorders
ATXN3,SPINOCEREBELLAR ATAXIA 1
PARK7,Multiple Sclerosis
TNFSF9,Multiple Sclerosis
NFASC,Multiple Sclerosis
F2RL1,Multiple Sclerosis
ENTPD1,Multiple Sclerosis
SHH,Multiple Sclerosis
